Name	Description	Authors	Repository	Homepage	Documentation	Download Page	Coding Language	License	Operating System	Pricing Model
afmformats	Python library for reading common AFM file formats	Paul Müller	https://github.com/AFM-analysis/afmformats		https://afmformats.readthedocs.io	https://pypi.org/project/afmformats	Python	MIT	Linux Windows macOS	
AutoSmarTrace	For automated tracing of chains in AFM images or any bright chain-like objects on dark background with or without noise.	Mathew Schneider, Naghmeh Rezaei, Nancy Forde	https://github.com/FordeLab/AutoSmarTrace		https://github.com/FordeLab/AutoSmarTrace/blob/main/README.txt		MatLab			
Gwyddion		David Nečas and Petr Klapetek	https://sourceforge.net/projects/gwyddion/	http://gwyddion.net/	http://gwyddion.net/documentation/	http://gwyddion.net/download.php	C	GPL	Linux Windows macOS	
nanite	Fitting and machine-learning based rating of AFM force-indentation data	Paul Müller	https://github.com/AFM-analysis/nanite		https://nanite.readthedocs.io	https://pypi.org/project/nanite	Python	GPL	Linux Windows macOS	
PS Poly	Polymer image analysis and shape categorization of AFM data	Elizabeth Conley	https://github.com/KingGavinM/PS-Poly	https://kinggm.mufaculty.umsystem.edu		https://pypi.org/project/pspoly	Igor Pro, Python	CC		
pyAF	An AFM Force Curve Analysis Software	Michka Popoff, Antoine Dujardin, Javier Lopez-Alonso, Simone Bovio, Nuno Duarte, Sébastien Janel, Vincent Dupres, Frank Lafont	https://github.com/sebastienjanel/pyAF	https://cmpi.cnrs.fr/			Python	CeCILL 2.1		
PyJibe	GUI for AFM data analysis with an emphasis on biological specimens	Paul Müller	https://github.com/AFM-analysis/PyJibe		https://pyjibe.readthedocs.io	https://github.com/AFM-analysis/PyJibe/releases	Python	GPL	Linux Windows macOS	
SmarTrace	Chain tracing program developed to extract persistence lengths from AFM images of filaments such as collagen and DNA. Can be used on any type of image with bright chain-like structures on a darker background.	Naghmeh Rezaei, Nancy Forde	https://github.com/FordeLab/SmarTrace		https://github.com/FordeLab/SmarTrace/blob/main/README.md		MatLab			
TopoStats	An AFM image analysis program to batch process data by removing artefacts, identifying objects, and obtaining and plotting their statistics.	TopoStats Developers	https://github.com/AFM-SPM/TopoStats	https://afm-spm.github.io/TopoStats/	https://afm-spm.github.io/TopoStats/	https://pypi.org/project/topostats/	Python	LGPL	Linux Windows macOS	
Trace_y	Tracing filament polymers and individual filament 3D structural analysis algorithms.	Wei-Feng Xue	http://github.com/wfxue/Trace_y	http://github.com/wfxue/Trace_y	https://github.com/wfxue/Trace_y/blob/main/README.md	http://github.com/wfxue/Trace_y	Matlab	MIT	Windows macOS	
